Genre	ZCR Mean	ZCR STD	Spectral Centroid Mean	Spectral Centroid STD	MFCC 1 MEAN	MFCC 1 STD	MFCC 2 MEAN	MFCC 2 STD	MFCC 3 MEAN	MFCC 3 STD	MFCC 4 MEAN	MFCC 4 STD	MFCC 5 MEAN	MFCC 5 STD	MFCC 6 MEAN	MFCC 6 STD	MFCC 7 MEAN	MFCC 7 STD	MFCC 8 MEAN	MFCC 8 STD	MFCC 9 MEAN	MFCC 9 STD	MFCC 10 MEAN	MFCC 10 STD	MFCC 11 MEAN	MFCC 11 STD	MFCC 12 MEAN	MFCC 12 STD	MFCC 13 MEAN	MFCC 13 STD	MFCC 14 MEAN	MFCC 14 STD	MFCC 15 MEAN	MFCC 15 STD	MFCC 16 MEAN	MFCC 16 STD	MFCC 17 MEAN	MFCC 17 STD	MFCC 18 MEAN	MFCC 18 STD	MFCC 19 MEAN	MFCC 19 STD	MFCC 20 MEAN	MFCC 20 STD	MFCC 21 MEAN	MFCC 21 STD	MFCC 22 MEAN	MFCC 22 STD	MFCC 23 MEAN	MFCC 23 STD	MFCC 24 MEAN	MFCC 24 STD	MFCC 25 MEAN	MFCC 25 STD	MFCC 26 MEAN	MFCC 26 STD	MFCC 27 MEAN	MFCC 27 STD	MFCC 28 MEAN	MFCC 28 STD	MFCC 29 MEAN	MFCC 29 STD	MFCC 30 MEAN	MFCC 30 STD	MFCC 31 MEAN	MFCC 31 STD	MFCC 32 MEAN	MFCC 32 STD	MFCC 33 MEAN	MFCC 33 STD	MFCC 34 MEAN	MFCC 34 STD	MFCC 35 MEAN	MFCC 35 STD	MFCC 36 MEAN	MFCC 36 STD	MFCC 37 MEAN	MFCC 37 STD	MFCC 38 MEAN	MFCC 38 STD	MFCC 39 MEAN	MFCC 39 STD	MFCC 40 MEAN	MFCC 40 STD
blues	0.08304482066898686	0.027693783681433826	1784.1226412753101	360.20200501843135	-170.27682	31.06467	73.714455	13.567191	-11.04456	12.592466	20.211838	9.594465	-3.6673684	9.972071	8.130293	7.996236	-8.535048	6.7229	7.0699787	6.800277	-8.5043	7.140417	5.3979187	6.2479973	-5.5543475	5.518904	5.411693	5.5461183	-2.7255602	5.060309	4.0918994	4.820026	-3.8980477	4.8512383	1.865882	5.1983833	-1.8913012	4.611367	1.2439303	4.439052	-1.854348	4.896797	1.886178	3.9916008	-2.7106335	3.794942	1.5109899	3.54594	-2.6464622	3.3828378	-0.09762738	3.4074097	-0.7657819	3.1037407	1.9868368	2.8902564	-2.67641	2.5639405	0.7140917	2.5638804	-1.6309503	2.30778	1.0286605	2.1361766	-0.306223	2.0039818	0.14082694	2.1060894	-0.5503824	1.9557148	0.16460694	1.8992889	0.28402245	1.825518	-0.45243025	2.059607	0.35927963	1.7792392	-0.2445193	1.6836026	-0.011029517	1.6050183	0.12524462	1.7468922
blues	0.05603980870552978	0.03804630719740175	1530.2617669893777	613.1194898044935	-223.47128	55.431366	77.41291	16.47708	5.122369	17.411076	17.465864	11.858628	0.11893401	11.196399	9.829797	8.663793	-5.299651	9.554446	11.667277	7.1630297	-7.5857444	8.408564	6.099496	6.999156	-4.3147464	6.7152967	3.1030066	6.175496	-2.3898213	5.6999593	2.6769054	5.635222	-4.6698093	4.8957353	1.4355321	5.5358596	-1.6931564	4.8938704	1.4159982	4.4774423	-0.5941263	4.353575	1.3644403	3.9484954	-2.8794374	3.8550916	1.4820952	3.7938023	-2.0659294	3.3551679	-0.29168135	3.7586918	0.1448704	3.195311	1.0349156	3.0343282	-1.3961947	2.7280989	0.59176475	2.6959653	-0.36745963	2.3755162	0.044866197	2.3373053	-0.29109272	2.141701	0.55322176	2.2051337	-0.64923984	1.9035057	0.13481717	1.7781664	0.37350744	1.7040561	-0.022639487	1.8102673	-0.12496204	1.6397479	-0.38385448	1.7185663	-0.18412443	1.635136	0.37639308	1.7227399
blues	0.07629120746326373	0.031730570099435376	1552.8324814348227	395.56416787159105	-157.40497	37.091232	85.01776	16.336006	-16.567362	14.882397	14.735479	10.165974	-6.844328	9.81769	13.292893	7.236174	-6.1716843	7.837096	6.7586718	7.352814	-5.0064774	6.5436797	5.863026	6.1546392	-6.531602	6.045893	4.609795	5.6169624	-3.6815863	5.463027	1.7645937	5.3243666	-3.6983173	4.9094353	3.8259718	4.5194283	-3.4413195	4.5383344	1.1244874	4.5546227	-2.2708325	4.406568	1.2047842	3.667921	-1.9980747	3.6122043	1.9944067	3.6685245	-1.2650862	3.3801417	0.56755966	2.9888566	-1.2098876	3.311149	-0.23162493	2.6686223	-0.6088431	2.6900444	0.70997	2.5591938	-0.3190379	2.386294	0.14332098	2.276958	-0.3769772	2.1314538	-0.027027646	2.082379	-0.4347548	1.8983737	0.31522498	1.7754387	-0.1862484	1.8833767	-0.10688096	1.8745105	-0.41904193	1.6241164	0.36240956	1.6821011	0.53127736	1.6277847	0.058544315	1.7191085
blues	0.03330886262567672	0.020561103742135052	1070.1534175250665	429.378631790483	-222.94328	44.11728	93.16744	15.050742	3.9641316	11.644944	16.617146	8.785345	0.8209075	10.300133	9.798517	7.887634	-1.9993535	8.276268	7.4094553	6.716062	0.23628272	6.2992897	6.3907003	6.262651	-1.5850208	6.8517776	4.912765	5.4868655	-1.1779132	5.557132	1.971067	5.572973	-1.0354408	4.9954886	2.2852526	5.0429564	-1.3729211	5.145654	2.09786	3.926164	-0.4500324	4.062447	0.22073999	3.4367983	0.012012656	3.8172133	1.5637066	3.3038461	-0.56724876	3.156842	0.28396454	2.864931	-0.5321992	2.9071677	-0.44666386	2.6330652	-0.3491223	2.5888114	0.29587302	2.49026	0.12697391	2.1453962	-0.32077926	2.2528756	-0.16902952	1.996082	0.13165674	2.0518177	0.13018365	1.9049064	-0.04897419	1.6436572	0.32425982	1.7079749	-0.06757964	1.6471844	0.14493762	1.5860851	0.095130704	1.493374	0.00031494116	1.5470846	0.5447712	1.61052
blues	0.10146053871809745	0.04420548271538123	1835.12851277257	585.874983035052	-195.73608	44.8077	80.796196	19.454596	-19.211006	12.260407	11.692033	10.277721	-19.469864	11.810382	7.1587915	7.5247364	-12.643069	7.025435	2.0032141	7.9224358	-6.3555293	7.8811717	3.5758822	6.8607116	-6.7344317	6.8198767	1.6118951	6.7055993	-3.5625951	6.5880957	-0.84558624	6.830585	-5.392768	6.0099263	-0.5076313	6.4893637	-3.3517811	5.966766	1.519681	4.8739114	-2.5606935	5.393187	-2.8471785	4.7990394	-2.167059	5.0938096	1.3530248	4.223939	-1.4620968	4.278649	-1.5654435	3.576997	-0.099694766	3.321861	-0.0187983	3.6041296	-0.85452855	3.097132	-0.71237653	3.1323705	-0.40265936	3.143997	-0.42096224	2.664819	1.292438	2.58998	-0.24214058	2.9479537	-0.5487502	2.384184	-0.21283695	2.0918145	0.294677	2.375193	-0.1980961	2.2266848	0.16086242	1.8772407	0.50093365	1.9101284	-0.2122067	1.8125621	-0.28308082	2.2778935
blues	0.09404153373936582	0.07895058970522166	1832.0115969728517	1015.1274949259339	-201.4323	55.81538	81.567375	31.621193	-8.3649	14.99072	17.59723	14.427076	-13.066143	12.484583	7.75751	8.840122	-12.23334	8.562348	4.116572	7.6798983	-6.049941	8.366928	1.3238808	6.7588916	-7.5446424	6.6744313	0.99904007	6.2239633	-5.9803677	5.9668727	-2.8196607	5.304108	-2.635034	5.522258	-1.7770175	5.772202	-2.4974747	5.3321905	-1.1049194	3.8801928	-1.8858638	4.228286	-3.085954	3.9432988	-0.5594424	4.477128	0.11303347	3.6621242	-1.3553054	3.850546	-1.3141398	3.231738	-0.9696677	3.102481	-0.19745073	2.8248568	0.006030644	2.7586093	0.073387764	2.416582	-0.010438162	2.4146323	-0.7250991	2.3942156	0.6517892	2.233989	-0.34544605	1.9889402	-0.31765226	2.0621312	0.06305914	1.933844	0.23854403	1.9866172	0.26386815	1.8359336	0.0481387	1.7274462	-0.24994874	1.7192007	0.03783582	1.6305754	-0.14006585	1.6743532
blues	0.07305223740815932	0.04369405757996276	1459.4696908114731	661.8345705707314	-210.57967	67.22809	96.715805	26.187376	-18.244102	23.355135	20.741877	14.527785	6.900605	19.677694	1.3994324	9.619598	-10.125904	9.048768	2.3752184	6.9174395	-3.388514	8.686526	-0.76936054	7.810496	-3.4895277	7.253478	-0.3982349	5.8453193	-3.3961585	5.7702985	-3.154894	4.96098	-1.7057673	5.2541285	-2.6151593	4.896041	-4.3663006	4.817099	-1.9867779	4.0625815	-1.083854	4.4074163	-1.2336407	4.163715	-1.5072647	4.0518975	-1.7668985	3.9694655	-1.5387025	3.4634242	-0.9736449	3.1501164	-0.9560966	2.9647589	-1.1587615	2.8028924	-0.56190515	2.611592	-0.2431939	2.9203348	-0.41574183	2.300896	-1.1754956	2.383737	-0.7352877	2.0131388	-0.09621572	2.0358412	-0.3340312	1.960256	-0.24578945	1.7898865	-0.46264705	1.7035487	-0.45932198	1.750728	-0.123247355	1.7053279	-0.072398745	1.6554208	0.06633181	1.592018	-0.13582078	1.6827251
blues	0.061442246108855375	0.04299786357871877	1451.859413795751	670.5234080387495	-204.51718	52.32531	90.41168	22.793055	-12.239402	15.6680565	24.203493	12.639461	4.446178	15.162037	7.9633574	8.166457	-9.826801	8.319823	7.2613745	7.8673873	-6.353974	7.930278	-0.17992671	9.557257	-3.7831972	7.494558	-1.0597816	5.7091637	-0.6653425	6.447945	-1.8395404	5.2095866	-2.7241523	5.716332	-1.4490439	5.4331717	-4.0218954	4.9815993	-2.977056	4.4702253	0.039531853	4.769712	-0.68297106	3.9277418	-2.4020464	4.007272	-2.7093596	4.169486	0.46953487	3.405942	-0.39747217	3.5665088	-1.0407605	3.3959126	0.52327675	2.8781798	-0.6343334	2.6645718	-0.69279337	2.5309799	-0.7411927	2.3472097	-0.41303697	2.3310406	-0.07208187	2.0781653	-0.063778326	2.0623248	-0.2778791	2.0587144	-0.23811552	1.9528888	-0.53354585	1.8287057	-0.054308802	1.7269353	0.057232242	1.7205391	0.12591399	1.6454602	-0.059010267	1.6570477	0.07145377	1.6580337
blues	0.06402488761600927	0.027045919171916347	1719.4633657271252	404.11438129424437	-174.60878	29.60953	72.59864	15.624877	-6.3770604	13.985993	23.866203	11.479218	-1.6973212	10.004119	9.764368	8.204447	-9.932085	7.219906	12.013525	7.0056496	-4.2795434	6.224079	12.933107	6.309718	-3.4994607	5.8723574	4.2131166	5.3895855	-5.756217	5.2012825	5.3089027	4.9270725	-2.771945	4.4321976	0.6199185	4.9752207	-4.1849055	4.01412	3.642671	4.039823	0.70799476	3.7234876	0.33149523	3.8704617	-2.5323637	3.1662588	2.4719203	3.1944573	-0.6970736	3.1358037	-1.4873827	3.0947983	-2.0009334	2.885786	0.7722675	2.4654458	2.303245	2.701936	0.36505944	2.370812	-1.3348899	2.1030915	0.7803045	2.1371222	-0.1860796	2.0315285	0.8769146	2.0350525	-0.74314463	1.7798991	1.0378971	1.8603412	0.4367417	1.6633908	-0.45519844	1.9008601	-0.27350894	1.643347	0.20500165	1.5384762	0.25957224	1.5098051	-0.26324978	1.6908821
blues	0.07917482356921887	0.03711682977865272	1817.2305900912734	546.0232819290533	-220.97472	51.913254	76.10983	17.047577	-5.351155	16.382168	20.760798	13.330783	-15.983583	14.081785	5.3515577	10.960667	-8.488069	7.6955304	4.698481	6.366547	-11.256876	7.7391295	4.0155373	7.218806	-5.9893055	6.7905784	4.1121664	6.4698524	-2.7269602	5.4970174	-1.3205719	6.0431323	-2.8249612	6.085168	0.85587794	4.813753	-2.9348185	4.997494	-0.07947677	5.0416355	-0.42384842	4.4380493	-1.5308523	4.425405	-0.43294355	4.8954535	0.91829467	3.8137965	-2.0109792	3.9931436	0.8516244	3.1339378	0.43289366	3.1135356	-0.09308469	2.9660156	0.6544327	2.9827497	-0.04114476	2.6222332	-0.217194	2.5709462	-0.32690486	2.4289272	0.43349934	2.2628303	-0.06525566	2.2773724	0.1472234	2.0643246	-0.051625274	1.9239668	0.4375161	2.0605545	-0.08484314	2.2375615	-0.06954743	1.8041704	-0.47670624	1.8861231	0.1570651	1.9104768	0.3279316	1.8360822
